Est Number,Premise Name,Premise Address 1,Premise Zip Code,TYPE,Status,Inspection Date,Inspection Type,Score,Violation List,
30763,ARBY'S RESTAURANT,3391 TATES CREEK RD,40502,605,ACTIVE,17-Jul-2023,12,,"NOTICE TO CORRECT
AN INSPECTION CONDUCTED DISCLOSED THE FOLLOWING VIOLATIONS: ESTABLISHMENT DOES NOT HAVE A CONSUMER ADVISORY POSTED FOR THE WAGYU STEAK HOUSE BURGER WHICH IS COOKED ""MEDIUM"" AND TEMPTED INTERNALLY AT 120F  ESTABLISHMENT MUST HAVE SONSUMER ADVISORY AND STATEMENT THAT BUGERS IS OOKED TO MEDUIM AT ALL POINTS OF SALE (DRIVE THRU AND FRONT COUNTER) DURING THE DURATION OF THE PRODUCT SALE.   NOTICE TO CORRECT THE ABOVE LISTED VIOLATIONS WITH A PERIOD OF 10 DAYS FROM THE DATE OF RECEIPT OF THIS NOTICE.",
30763,ARBY'S RESTAURANT,3391 TATES CREEK RD,40502,605,ACTIVE,17-Jul-2023,2,97,  48  56,
30766,ASHLAND ELEMENTARY SCHOOL,195 N ASHLAND AVE,40502,605,ACTIVE,07-Sep-2023,1,100,,
30768,ASHLAND TERRACE,475 S ASHLAND AVE,40502,605,ACTIVE,06-Oct-2023,1,99,  45,
30769,ATHENS LUNCHROOM,6270 ATHENS WALNUT HILL RD,40515,605,ACTIVE,28-Aug-2023,1,97,  41  44  56,
30789,BIG BLUE BIRD EARLY CHILDHOOD CTR,1945 EASTLAND PKWY,40505,605,ACTIVE,09-Aug-2023,1,100,,
30790,GAY BREWER JR CRS @ PICADOME,469 PARKWAY DR,40504,605,ACTIVE,26-Jul-2023,1,98,  50  56,
30798,SABOR LATINO PUPUSAS,1479 BOARDWALK,40511,605,ACTIVE,13-Jul-2023,2,95,  10  48  50  56,
30799,BOB EVANS RESTAURANT #53,2566 RICHMOND RD,40509,605,ACTIVE,05-Sep-2023,1,97,  41  45  56,
30800,SONNY'S BBQ,2341 BUENA VISTA RD,40505,605,ACTIVE,24-Aug-2023,1,75,   1   6   8  15  20  21  39  40  48  49  50  51  56  57  58,
30800,SONNY'S BBQ,2341 BUENA VISTA RD,40505,605,ACTIVE,07-Sep-2023,2,93,  40  50  51  56  57  58,
30800,SONNY'S BBQ,2341 BUENA VISTA RD,40505,605,ACTIVE,20-Sep-2023,2,96,  40  50  56  57,
30802,WAFFLE HOUSE # 1099,1000 GEORGETOWN ROAD,40511,605,ACTIVE,10-Aug-2023,1,89,   6  17  24  25  50  56  58,
30802,WAFFLE HOUSE # 1099,1000 GEORGETOWN ROAD,40511,605,ACTIVE,24-Aug-2023,2,93,  17  25  37  50  56  57,
30802,WAFFLE HOUSE # 1099,1000 GEORGETOWN ROAD,40511,605,ACTIVE,05-Sep-2023,2,88,   6  17  18  25  37  50  56  57,
30802,WAFFLE HOUSE # 1099,1000 GEORGETOWN ROAD,40511,605,ACTIVE,13-Sep-2023,2,98,  10  56,
30808,BRECKINRIDGE ELEMENTARY SCHOOL,2101 ST MATILDA DR,40502,605,ACTIVE,29-Sep-2023,2,99,  10,
30808,BRECKINRIDGE ELEMENTARY SCHOOL,2101 ST MATILDA DR,40502,605,ACTIVE,29-Sep-2023,1,97,   3  10,
30817,MARIA'S KITCHEN,805 N BROADWAY,40508,605,ACTIVE,24-Aug-2023,1,89,   6  10  38  44  48  50  57  58,
30817,MARIA'S KITCHEN,805 N BROADWAY,40508,605,ACTIVE,14-Sep-2023,2,96,  38  44  50  56,
30818,"ROSE BUD, THE",121 NORTH MILL STREET,40507,605,ACTIVE,03-Oct-2023,1,99,  39,
30819,TACO BELL #23279,2917 RICHMOND RD,40509,605,ACTIVE,05-Sep-2023,1,99,  56,
30822,RICHIES,771 E NEW CIRCLE ROAD,40505,605,ACTIVE,05-Sep-2023,1,96,  40  41  48,
30824,BURGER KING #1923,451 NEW CIRCLE RD,40505,605,ACTIVE,24-Jul-2023,1,87,   6  38  40  46  48  50  51  56  57  58,
30824,BURGER KING #1923,451 NEW CIRCLE RD,40505,605,ACTIVE,08-Aug-2023,2,94,  44  48  50  56  57,
30827,C & P RESTAURANT,1000 MANCHESTER ST,40508,607,ACTIVE,31-Jul-2023,1,99,  56,
30827,C & P RESTAURANT,1000 MANCHESTER ST,40508,607,ACTIVE,31-Jul-2023,1,86,   8  18  21  44  47  49  56,
30827,C & P RESTAURANT,1000 MANCHESTER ST,40508,607,ACTIVE,15-Aug-2023,2,93,  18  21  44,
30827,C & P RESTAURANT,1000 MANCHESTER ST,40508,607,ACTIVE,15-Aug-2023,2,99,  44,
30832,"CAMPBELL HOUSE, THE",1375 S BROADWAY,40504,605,ACTIVE,06-Sep-2023,1,94, 45 46 48 50 56,
30832,"CAMPBELL HOUSE, THE",1375 S BROADWAY,40504,605,ACTIVE,06-Sep-2023,1,100,,
30832,"CAMPBELL HOUSE, THE",1375 S BROADWAY,40504,607,ACTIVE,06-Sep-2023,12,,"NOTICE TO CORRECT
AN INSPECTION CONDUCTED DISCLOSED THE FOLLOWING VIOLATIONS: BROKEN GLASS ON OVEN DOOR (REPEATED VIOLATION) 
NOTICE TO CORRECT THE ABOVE VIOLATIONS WITH A PERIOD OF 30 DAYS FROM THE DATE OF RECEIPT OF THIS NOTICE",
30832,"CAMPBELL HOUSE, THE",1375 S BROADWAY,40504,607,ACTIVE,06-Sep-2023,1,100,,
30832,"CAMPBELL HOUSE, THE",1375 S BROADWAY,40504,607,ACTIVE,06-Sep-2023,1,94,  45  46  48  50  56,
30843,KROGER FIELD CONCESSION #123,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,99,  56,
30844,KROGER FIELD KITCHEN SUITE #549 UPPER LEVEL,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,100,,
30845,KROGER FIELD KITCHEN SUITE #409 UPPER LEVEL,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,100,,
30847,KROGER FIELD CONCESSION # 259,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,96,  22  56,
30847,KROGER FIELD CONCESSION # 259,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,2,99,  56,
30848,KROGER FIELD CONCESSION #165,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,99,  56,
30849,KROGER FIELD CONCESSION #171,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,100,,
30850,KROGER FIELD MAIN KITCHEN #179,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,94,   6  18  50,
30850,KROGER FIELD MAIN KITCHEN #179,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,2,99,  50,
30851,KROGER FIELD FUNNEL CAKE #1 GATE 3 LOWER LEVEL,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,99,  10,
30852,KROGER FIELD CONCESSION #173,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,100,,
30853,KROGER FIELD KITCHEN SUITE #435 UPPER LEVEL,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,100,,
30854,KROGER FIELD CONCESSION #223,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,98,  43  56,
30857,KROGER FIELD CONCESSION #217,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,93,  22  43  44  50  56,
30857,KROGER FIELD CONCESSION #217,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,2,96,  43  44  50  56,
30859,KROGER FIELD CONCESSION #161,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,2,99,  39,
30859,KROGER FIELD CONCESSION #161,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,97,   6  39,
30861,KROGER FIELD CONCESSION #267,1540 UNIVERSITY DRIVE,40506,605,ACTIVE,16-Sep-2023,1,96,  21  43,
30861,KROGER FIELD CONCESSION #267,1540 UNIVERSITY DRIVE,40506,605,ACTIVE,16-Sep-2023,12,,"NOTICE AND ORDER OF QUARANTINE/VOLUNTARY DESTRUCTION
ALL HOT DOGS Q1/Q2",
30861,KROGER FIELD CONCESSION #267,1540 UNIVERSITY DRIVE,40506,605,ACTIVE,27-Sep-2023,2,100,,
30862,KROGER FIELD RECRUITING DINING LOWER LEVEL,1540 UNIVERSITY DRIVE,40506,605,ACTIVE,16-Sep-2023,1,99,"NOTICE AND ORDER OF QUARANTINE/VOLUNTARY DESTRUCTION
ALL HOT DOGS Q1/Q2",
30863,KROGER FIELD CONCESSION #275,1540 UNIVERSITY DR,40506,605,ACTIVE,16-Sep-2023,1,97,  10  39  43,
30864,KROGER FIELD CONCESSION #211,1540 UNIVERSTIY DRIVE,40506,605,ACTIVE,16-Sep-2023,1,98,  43  44,
30868,PAPI'S MEXICAN RESTAURANT & BAR,818 EUCLID AVE,40502,605,ACTIVE,31-Aug-2023,2,93,  41  44  45  48  50  56,
30868,PAPI'S MEXICAN RESTAURANT & BAR,818 EUCLID AVE,40502,605,ACTIVE,31-Aug-2023,1,91,  25  41  44  45  48  50  56,
30869,CAPTAIN D'S,245 NEW CIRCLE ROAD,40505,605,ACTIVE,02-Oct-2023,12,,"NOTICE TO CORRECT
AN INSPECTION DISCLOSED THE FOLLOWING VIOLATIONS: EMPLOYEES WITHOUT LFCHD FOOD HANDLERS CARDS. 
THIS IS AN OFFICIAL NOTICE TO CORRECT THE ABOVE LISTED VIOLATIONS WITH A PERIOD OF 10 BUSINESS DAYS FROM THE DATE OF RECEIPT OF THIS NOTICE.",
30869,CAPTAIN D'S,245 NEW CIRCLE ROAD,40505,605,ACTIVE,02-Oct-2023,1,88,   3  17  40  48  49  50  56  57  58,
30870,CAPTAIN D'S,167 EAST REYNOLDS ROAD,40503,605,ACTIVE,14-Sep-2023,1,88,  21  34  45  48  50  51  56  58,
30870,CAPTAIN D'S,167 EAST REYNOLDS ROAD,40503,605,ACTIVE,06-Oct-2023,2,97,  48  56,
30871,CAPTAIN D'S,125 NORTH MT TABOR ROAD,40509,605,ACTIVE,19-Jul-2023,1,96,  48  51  56,
30872,CARDINAL HILL REHABILITATION HOSPITAL,2050 VERSAILLES RD,40504,605,ACTIVE,09-Aug-2023,1,100,,
30873,CARDINAL VALLEY ELEM. SCHOOL,218 MANDALEY ROAD,40504,605,ACTIVE,26-Sep-2023,1,94,   6  18  50,
30873,CARDINAL VALLEY ELEM. SCHOOL,218 MANDALEY ROAD,40504,605,ACTIVE,26-Sep-2023,2,99,  50,
30881,CASSIDY ELEMENTARY SCHOOL,1125 TATES CREEK RD,40502,605,ACTIVE,19-Sep-2023,1,100,,
30893,HORSE & JOCKEY PUB & KITCHEN,131 CHEAPSIDE,40507,605,ACTIVE,28-Sep-2023,1,100,,
30894,"MOUSE TRAP, THE",3323 TATES CREEK ROAD,40502,607,ACTIVE,03-Oct-2023,1,96,  46  48  56,
30894,"MOUSE TRAP, THE",3323 TATES CREEK ROAD,40502,607,ACTIVE,03-Oct-2023,1,94,  21  48  56,
30899,EARLY LEARNING CENTER,736 W MAIN ST,40508,605,ACTIVE,18-Sep-2023,1,97,  50  51  56,
30904,ARIRANG GARDEN,109 MT TABOR RD,40517,605,ACTIVE,03-Jul-2023,1,98,  55  56,
30906,CHRIST THE KING SCHOOL,412 COCHRAN RD,40502,605,ACTIVE,13-Sep-2023,1,100,,
30915,COLUMBIA STEAK HOUSE,201 NORTH LIMESTONE,40507,605,ACTIVE,25-Sep-2023,1,86,   6  17  18  21  41  48  50  56,
30915,COLUMBIA STEAK HOUSE,201 NORTH LIMESTONE,40507,605,ACTIVE,25-Sep-2023,2,94,  17  41  48  50  56,
30925,COMMUNITY ACTION COUNCIL,913 GEORGETOWN RD,40508,605,ACTIVE,10-Aug-2023,1,100,,
30941,CIRCLE K #3214,3469 BUCKHORN DR,40515,607,ACTIVE,04-Aug-2023,1,99,  56,
30946,REYNOLDS RD. FOOD MART,155 EAST REYNOLDS ROAD,40503,610,ACTIVE,02-Aug-2023,1,98,  54  56,
30949,ALLEN'S FOODMART,1918 OXFORD CIRCLE,40504,607,ACTIVE,07-Jul-2023,1,94,  37  48  50  54  56,
30949,ALLEN'S FOODMART,1918 OXFORD CIRCLE,40504,610,ACTIVE,07-Jul-2023,1,94,  37  48  50  54  56,
30950,JIMMY JOHN'S,1397 W MAIN STREET,40508,605,ACTIVE,24-Jul-2023,1,97,  38  48,
30956,COLUMBIA STEAKHOUSE GRILLE,2750 RICHMOND RD,40517,605,ACTIVE,10-Jul-2023,12,,"NOTICE TO CORRECT VIOLATIONS
AN INSPECTION DISCLOSED THE FOLLOWING VIOLATIONS: 
1. OBSERVED RODENT DROPPINGS IN DINING AREA
2. PEST CONROL SERVICE DOES NOT REGULARLY OCCUR AT ESTABLISHMENT",
30956,COLUMBIA STEAKHOUSE GRILLE,2750 RICHMOND RD,40517,605,ACTIVE,31-Jul-2023,1,95,  41  48  50  56,
30960,COURTYARD LEXINGTON NORTH,775 NEWTOWN CT,40511,605,ACTIVE,14-Aug-2023,1,100,,
30960,COURTYARD LEXINGTON NORTH,775 NEWTOWN CT,40511,605,ACTIVE,14-Aug-2023,1,89,   1   2  10  40  44  45  48  50  56,
30960,COURTYARD LEXINGTON NORTH,775 NEWTOWN CT,40511,607,ACTIVE,14-Aug-2023,1,89,   1   2  10  40  44  45  48  50  56,
30960,COURTYARD LEXINGTON NORTH,775 NEWTOWN CT,40511,607,ACTIVE,14-Aug-2023,1,100,,
30960,COURTYARD LEXINGTON NORTH,775 NEWTOWN CT,40511,605,ACTIVE,28-Aug-2023,2,100,,
30960,COURTYARD LEXINGTON NORTH,775 NEWTOWN CT,40511,605,ACTIVE,28-Aug-2023,2,95,  48  50  51  56,
30960,COURTYARD LEXINGTON NORTH,775 NEWTOWN CT,40511,607,ACTIVE,28-Aug-2023,2,100,,
30960,COURTYARD LEXINGTON NORTH,775 NEWTOWN CT,40511,607,ACTIVE,28-Aug-2023,2,95,  48  50  51  56,
30961,COWBOY'S,1515 RUSSELL CAVE RD,40505,605,ACTIVE,14-Sep-2023,1,98,  54  56,
30978,SCHER ENTERPRISES INC DBA DAIRY QUEEN,3509 LANSDOWNE DRIVE,40517,605,ACTIVE,04-Oct-2023,1,92,   8  39  40  41  52,
31008,DOMINO'S PIZZA,3101 CLAYS MILL RD,40503,605,ACTIVE,26-Jul-2023,1,97,  48  56,
31012,EL SABOR DE MEXICO RESTAURANT & TAYUENA,1505 RUSSELL CAVE RD.,40505,605,ACTIVE,19-Sep-2023,1,97,  44  51  56,
31016,DOMINO'S PIZZA,801 EUCLID AVE,40502,605,ACTIVE,07-Aug-2023,1,97,  10  40  50,
31022,CHINA HUT,850 LANE ALLEN RD,40504,605,ACTIVE,29-Aug-2023,1,89,  18  25  44  48  50  51  56,
31022,CHINA HUT,850 LANE ALLEN RD,40504,605,ACTIVE,29-Aug-2023,2,94,  44  48  50  51  56,
31044,EDUCARE LEARNING CENTER,2832 SNOW ROAD,40502,605,ACTIVE,12-Sep-2023,1,100,,
31054,SHELL-ESTEPP'S FOOD MART DELI,1951 STANTON WAY,40511,607,ACTIVE,03-Jul-2023,2,98,  39  50,
31054,SHELL-ESTEPP'S FOOD MART DELI,1951 STANTON WAY,40511,607,ACTIVE,03-Jul-2023,1,96,   6  39  50,
31054,SHELL-ESTEPP'S FOOD MART DELI,1951 STANTON WAY,40511,607,ACTIVE,03-Jul-2023,2,97,  39  50  56,
31054,SHELL-ESTEPP'S FOOD MART DELI,1951 STANTON WAY,40511,607,ACTIVE,03-Jul-2023,1,93,   6  29  39  50  56,
31101,FRISCH'S #148,1927 HARRODSBURG RD,40504,605,ACTIVE,14-Jul-2023,12,,"NOTICE TO CORRECT VIOLATIONS
AN INSPECTION CONDUCTED DISCLOSED THE FOLLOWING VIOLATIONS:  VENTS WITH DUST LIKE SUBSTANCE.  NOTICE TO CORRECT THE ABOVE LISTED VIOLATIONS WITH A PERIOD OF 10 BUSINESS DAYS.",
31101,FRISCH'S #148,1927 HARRODSBURG RD,40504,605,ACTIVE,10-Aug-2023,1,86,  15  18  21  24  45  50  51  56,
31101,FRISCH'S #148,1927 HARRODSBURG RD,40504,605,ACTIVE,24-Aug-2023,2,96,  45  50  51  56,
31104,FAZOLI'S #1605,2195 RICHMOND ROAD,40502,605,ACTIVE,17-Jul-2023,1,84,  17  18  21  22  40  41  44  46  50  56,
31104,FAZOLI'S #1605,2195 RICHMOND ROAD,40502,605,ACTIVE,31-Jul-2023,1,96,  37  40  50  56,
31107,CLAMATO'S,2304 VERSAILLES RD,40504,605,ACTIVE,17-Jul-2023,2,95,  45  48  50  56,
31132,EL PATRON MEXICAN RESTAURANT,1765 ALEXANDRIA DR,40504,605,ACTIVE,18-Sep-2023,1,99,  56,
31138,BLUEFIRE BAR & GRILL,401 W. HIGH STREET,40507,605,ACTIVE,16-Aug-2023,12,,"NOTICE AND ORDER OF QUARANTINE/VOLUNTARY DESTRUCTION
BUTTER 4LBS Q1/Q2
COTTAGE CHEESE 6LBS Q1/Q2",
31138,BLUEFIRE BAR & GRILL,401 W. HIGH STREET,40507,605,ACTIVE,16-Aug-2023,1,83,   6  13  18  24  45  46  48  51  56  58,
31138,BLUEFIRE BAR & GRILL,401 W. HIGH STREET,40507,605,ACTIVE,30-Aug-2023,2,95,  45  48  56  57,
31152,TARGET STORES T-366,131 WEST REYNOLDS ROAD,40503,607,ACTIVE,14-Aug-2023,1,98,  48,
31152,TARGET STORES T-366,131 WEST REYNOLDS ROAD,40503,607,ACTIVE,14-Aug-2023,1,97,  48  51,
31159,UK GOOD SAMARITAN HOSPITAL,310 S LIMESTONE ST,40508,605,ACTIVE,23-Aug-2023,1,93,  21  45  48  56,
31159,UK GOOD SAMARITAN HOSPITAL,310 S LIMESTONE ST,40508,605,ACTIVE,25-Aug-2023,12,,"NOTICE TO CORRECT VIOLATIONS
AN INSPECTION CONDUCTED DISCLOSED THE FOLLOWING VIOLATIONS: ESTABLISHMENT DID NOT HAVE THEIR MOST CURRENT INSPECTION PLACARD POSTED. 
THE NEXT VIOLATION OF THIS TYPE WILL RESULT IN AN AUTOMATIC CLOSURE OF THE ESTABLISHMENT. THERE IS NO EXPIRATION DATE ASSOCIATED WITH THIS NOTICE TO CORRECT. ",
31159,UK GOOD SAMARITAN HOSPITAL,310 S LIMESTONE ST,40508,605,ACTIVE,07-Sep-2023,2,97,  48  56,
31193,MIDWAY FOOD MART,3895 WINCHESTER ROAD,40509,607,ACTIVE,04-Oct-2023,1,92,  36  37  48  50  55  56  57,
31193,MIDWAY FOOD MART,3895 WINCHESTER ROAD,40509,607,ACTIVE,04-Oct-2023,1,92,  46  48  50  54  55  56  57,
31197,HARDEE'S,2990 RICHMOND RD,40509,605,ACTIVE,18-Jul-2023,1,82,   3   8  10  18  21  50  51  55  56  58,
31197,HARDEE'S,2990 RICHMOND RD,40509,605,ACTIVE,01-Aug-2023,2,95,  17  50  54  55  56,
31197,HARDEE'S,2990 RICHMOND RD,40509,605,ACTIVE,01-Aug-2023,2,92,  17  18  50  54  55  56,
31198,HARDEE'S,1125 WINCHESTER ROAD,40505,605,ACTIVE,17-Jul-2023,1,96,  48  50  56,
31284,HARDEE'S,202 NEW CIRCLE RD,40505,605,ACTIVE,26-Jul-2023,2,92,  17  34  37  41  48  50  56,
31284,HARDEE'S,202 NEW CIRCLE RD,40505,605,ACTIVE,26-Jul-2023,1,85,   6  17  21  24  34  37  41  48  50  56,
31284,HARDEE'S,202 NEW CIRCLE RD,40505,605,ACTIVE,26-Jul-2023,12,,"NOTICE AND ORDER OF QUARANTINE/VOLUNTARY DESTRCUTION
BAGGED EGG 15LBS Q1/Q2
COUNTRY HAME .5LBS Q1/Q2
CHEESE/HAM SET 8LBS Q1/Q2",
31287,HARRISON ELEMENTARY SCHOOL,161 BRUCE ST,40507,605,ACTIVE,30-Aug-2023,1,99,  56,
31293,PUDDLE JUMPERS LEARNING CENTER,1940 CAMBRIDGE DR.,40504,605,ACTIVE,03-Jul-2023,2,100,,
31293,PUDDLE JUMPERS LEARNING CENTER,1940 CAMBRIDGE DR.,40504,605,ACTIVE,03-Jul-2023,1,98,  25,
31312,CLARION HOTEL,1950 NEWTOWN PIKE,40511,605,ACTIVE,20-Sep-2023,1,100,,
31312,CLARION HOTEL,1950 NEWTOWN PIKE,40511,605,ACTIVE,20-Sep-2023,1,86,  17  25  29  39  44  48  50  56  57  58,
31312,CLARION HOTEL,1950 NEWTOWN PIKE,40511,607,ACTIVE,20-Sep-2023,1,86,  17  25  29  39  44  48  50  56  57  58,
31312,CLARION HOTEL,1950 NEWTOWN PIKE,40511,607,ACTIVE,20-Sep-2023,1,100,,
31312,CLARION HOTEL,1950 NEWTOWN PIKE,40511,605,ACTIVE,04-Oct-2023,2,91,  17  38  48  50  56  57  58,
31312,CLARION HOTEL,1950 NEWTOWN PIKE,40511,607,ACTIVE,04-Oct-2023,2,91,  17  38  48  50  56  57  58,
31369,HYATT REGENCY/MAIN KITCHEN,401 W  HIGH ST,40507,605,ACTIVE,31-Aug-2023,1,95,  45  48  50  56,
31408,THE WOK,537 A WALLER AVENUE,40504,605,ACTIVE,12-Sep-2023,2,90,  17  38  41  43  44  48  50  56  57,
31408,THE WOK,537 A WALLER AVENUE,40504,605,ACTIVE,12-Sep-2023,1,88,  17  25  38  41  43  44  48  50  56  57,
31454,BURGER & SHAKE,219 E NEW CIRCLE RD,40505,605,ACTIVE,29-Aug-2023,1,96,  48  50  56,
31459,"LEXMARK-AVI FOODSYSTEMS, BLDG #3",740 NEW CIRCLE RD,40511,605,INACTIVE,17-Jul-2023,1,98,  50  56,
31465,IDLE HOUR COUNTRY CLUB,1815 RICHMOND RD,40502,605,ACTIVE,22-Sep-2023,2,95,  41  46  48  56,
31465,IDLE HOUR COUNTRY CLUB,1815 RICHMOND RD,40502,605,ACTIVE,22-Sep-2023,1,92,  21  41  46  48  56,
31476,IROQUOIS HUNT CLUB,7496 GRIMES MILL ROAD,40509,605,ACTIVE,15-Aug-2023,1,98,  48,
31486,JAMES LANE ALLEN ELEM SCHOOL,1901 APPOMATTOX RD,40504,605,ACTIVE,13-Sep-2023,2,100,,
31486,JAMES LANE ALLEN ELEM SCHOOL,1901 APPOMATTOX RD,40504,605,ACTIVE,13-Sep-2023,1,98,  13,
31497,LEX EXPRESS,176 NEW CIRCLE RD,40505,607,ACTIVE,12-Sep-2023,1,97,  15  56,
31497,LEX EXPRESS,176 NEW CIRCLE RD,40505,610,ACTIVE,12-Sep-2023,1,97,  15  56,
31499,JESSIE CLARK MIDDLE SCHOOL,3341 CLAYS MILL RD,40517,605,ACTIVE,26-Sep-2023,1,100,,
31510,BOONE DOGS,5902 OLD RICHMOND ROAD,40515,605,ACTIVE,27-Jul-2023,1,89,  18  21  24  37  38  51,
31510,BOONE DOGS,5902 OLD RICHMOND ROAD,40515,605,ACTIVE,27-Jul-2023,1,100,,
31510,BOONE DOGS,5902 OLD RICHMOND ROAD,40515,607,ACTIVE,27-Jul-2023,1,100,,
31510,BOONE DOGS,5902 OLD RICHMOND ROAD,40515,607,ACTIVE,27-Jul-2023,1,89,  18  21  24  37  38  51,
31510,BOONE DOGS,5902 OLD RICHMOND ROAD,40515,605,ACTIVE,10-Aug-2023,2,97,  43  51  56,
31510,BOONE DOGS,5902 OLD RICHMOND ROAD,40515,607,ACTIVE,10-Aug-2023,2,97,  43  51  56,
31546,SAKURA 12,1015 WINCHESTER ROAD,40505,605,ACTIVE,31-Aug-2023,1,97,  48  56,
31549,KENTUCKY FRIED CHICKEN,1494 BOARDWALK,40511,605,ACTIVE,02-Oct-2023,1,97,  48  50,
31553,KINDER CARE LEARNING CTR #963,3199 CUSTER DRIVE,40517,605,ACTIVE,05-Sep-2023,1,96,  41  48  56,
31556,KINDERCARE NURSERY,628 WELLINGTON WAY,40503,605,ACTIVE,06-Sep-2023,1,98,  50  56,
31585,KENTUCKY FRIED CHICKEN,3030 RICHMOND ROAD,40509,605,ACTIVE,05-Oct-2023,1,97,  48  56,
31597,LAFAYETTE CHILD CARE,1836 CLAYS MILL ROAD,40503,605,ACTIVE,13-Sep-2023,1,92,   1  18  48  56,
31597,LAFAYETTE CHILD CARE,1836 CLAYS MILL ROAD,40503,605,ACTIVE,27-Sep-2023,2,98,  48,
31600,LAFAYETTE HIGH SCHOOL,400 REED LN,40503,605,ACTIVE,13-Sep-2023,1,100,,
31602,LAKESIDE GOLF COURSE SNACK BAR,3725 RICHMOND ROAD,40509,605,ACTIVE,09-Aug-2023,1,85,   1   3  10  25  37  41  46  49  50  56  58,
31602,LAKESIDE GOLF COURSE SNACK BAR,3725 RICHMOND ROAD,40509,605,ACTIVE,13-Sep-2023,2,97,  10  49  56,
